174,Melyik országban található a Lake Natron?,Tanzánia,Kenya,Uganda,Ruanda,2,Vörös színű, sós tó.,3
175,Melyik országban található a Aogashima vulkáni sziget?,Japán,Indonézia,Fülöp-szigetek,Tajvan,2,Elzárt sziget Tokió közelében.,3
176,Melyik országban található a Mount Erebus?,Antarktisz,Ausztrália,Új-Zéland,Chile,2,A kontinens legaktívabb vulkánja.,3
177,Melyik országban található a Lake Baikal?,Oroszország,Kazahsztán,Mongólia,Kína,2,A világ legmélyebb tava.,3
178,Melyik országban található a Valley of the Kings?,Egyiptom,Irak,Irán,Marokkó,2,Fáraók sírhelyei Luxor közelében.,3
179,Melyik országban található a Vinicunca (Szivárvány-hegy)?,Peru,Bolívia,Chile,Argentína,2,Természetes színes hegy.,3
180,Melyik hegységben található a Fitz Roy-hegy?,Andok,Alpok,Kordillerák,Atlasz,2,Patagónia ikonikus csúcsa.,3
181,Melyik hegységben található az Elbrusz?,Kaukázus,Urál,Alpok,Kárpátok,2,Európa legmagasabb hegye.,3
182,Melyik országban található a White Desert?,Egyiptom,Marokkó,Algéria,Irán,2,Különleges krétás sziklaformák.,3
183,Melyik országban található a Cook-hegy?,Új-Zéland,Ausztrália,Fidzsi-szigetek,Papua Új-Guinea,2,Az ország legmagasabb csúcsa.,3
184,Melyik országban található a Torres del Paine?,Chile,Argentína,Bolívia,Peru,2,Gránittornyok Patagóniában.,3
185,Melyik hegységben található a Kinabalu-hegy?,Borneói-hegység,Maláj-fennsík,Indokínai-hegység,Szumátrai-hegység,2,Borneo legmagasabb hegye.,3
186,Melyik országban található a Hillier tó?,Ausztrália,Új-Zéland,Chile,USA,2,Rózsaszín színű tó.,3
187,Melyik országban található a Pamukkale?,Törökország,Iráni,Szíria,Görögország,2,Természetes mészkőteraszok.,3
188,Melyik hegységben található a Damavand-hegy?,Elburz-hegység,Zagrosz,Kaukázus,Ararát,2,Iráni vulkán.,3
189,Melyik hegységben található a Nyiragongo-hegy?,Virunga-hegység,Rwenzori,Kilimandzsáró,Kordillerák,2,A világ egyik legaktívabb lávatava.,3
190,Melyik hegységben található a Bromo-hegy?,Tengger-hegység,Maláj-fennsík,Szumátrai-hegység,Indokínai-hegység,2,Turisták által látogatott vulkán.,3
191,Melyik hegységben található a Toubkal-hegy?,Atlasz,Kaukázus,Elburz,Kordillerák,2,Észak-Afrika legmagasabb hegye.,3
192,Melyik hegységben található a Kosciuszko-hegy?,Ausztrál-Alpok,Tasmán-hegység,Új-Zélandi-hegység,Borneói-hegység,2,Ausztrália legmagasabb pontja.,3
193,Melyik hegységben található az Ararát-hegy?,Török-hegység,Kaukázus,Zagrosz,Elburz,2,A bibliai Noé bárkája legendája.,3
194,Melyik hegységben található az Olümposz?,Olimposzi-hegység,Kaukázus,Kárpátok,Alpok,2,A görög mitológia isteneinek otthona.,3
195,Melyik hegységben található a Fuji-hegy?,Japán-hegység,Kínai-fennsík,Kordillerák,Szumátrai-hegység,2,Ikonikus vulkán Tokió közelében.,3
196,Melyik hegységben található a Tábla-hegy?,Fokföldi-hegység,Atlasz,Kalahári-fennsík,Drakensberg,2,Lapos tetejű hegy Dél-Afrikában.,3
197,Melyik hegységben található a Kenya-hegy?,Kenya-hegység,Kilimandzsáró,Rwenzori,Virunga,2,Afrika második legmagasabb hegye.,3
198,Melyik hegységben található a Sínai-hegy?,Sínai-hegység,Negev-fennsík,Ararát,Kaukázus,2,Bibliai jelentőségű hegy.,3
199,Melyik hegységben található az Etna?,Szicíliai-hegység,Alpok,Kaukázus,Appenninek,2,Európa legaktívabb vulkánja.,3
200,Ki írta az „Anyám tyúkja” című verset?,Petőfi Sándor,Arany János,Ady Endre,József Attila,3,Magyar klasszikus humoros költemény.,1
201,Melyik műfajba tartozik a regény?,epikus próza,dráma,ballada,vers,3,Hosszabb prózai elbeszélés.,1
